1237325094596366336	News: As #China slowly but surely recovers from #COVID19, 38 out of 42 #AppleStores have reopened. When asked why 4 stores remain closed, @USER declined to comment. #Apple #coronavirus HTTPURL	UNINFORMATIVE
1245927404050108417	Gravitas: Wuhan CoronaVirus | Pictures that China doesn't want you to se... HTTPURL via @USER Did 40,000 people die in #Wuhan ? 3500 Urns given out every day by 7 different funeral homes. #Genocide	UNINFORMATIVE
1245869958111739904	US will pass Italy by next Wednesday to be the COVID death capital of the world, with close to 20K Americans killed by presidential stupidity. Wonder if @USER is tired of #winning yet?	UNINFORMATIVE
1245769826825646080	This is what politicizing a fake COVID experience looks like. Don Lemon was crying over Fredo, while his pierced nipple brother exploited it for political gain, and Dr Gupta used it to confirm that CNN was right all along while Trump failed America. HTTPURL	UNINFORMATIVE
1248641847334969345	"RMT union boss Steve Hedley suspended over disparaging and disgraceful remarks on PM's health, saying he'd ""throw a party” if Boris Johnson died of #Covid19 &amp; hopes the whole Cabinet contracts the deadly virus. @USER @USER HTTPURL"	UNINFORMATIVE
1236159127572959232	#ABORTION has killed far more than all of these: sars, flu, swine flu, ebola, zika, now #COVID19‼️According to CDC approx 876,000 abortions took place in the United States in 2018, not counting California, Maryland, &amp; New Hampshire, they do not publicly report abortion totals.	UNINFORMATIVE
1246018175537471490	Flashback Friday: the summer me and my then elementary age children watched the Casey Anthony trials, and Maury HTTPURL This triggered that memory and much more happening then. #COVID19 spreading love the family way? No pun intended.	UNINFORMATIVE
1236105056497225728	'No Time to Die' box-office release delayed for coronavirus, but don't expect other Hollywood films to follow - CNBC HTTPURL #Business #Life #Movies #BreakingNewsBusiness #Retailindustry HTTPURL	UNINFORMATIVE
1247807719525908483	Deaths related to COVID-19 declined for the the first time in parts of Europe, and the City of Wuhan, where the virus originated, officially lifted its quarantine, effective tomorrow.	UNINFORMATIVE
1247915624979988481	Care Sourcer is free for Local Authorities and CCGs across the UK to help with hospital discharge during the COVID-19 outbreak. If we can help your team, contact publicsector@USER	UNINFORMATIVE
1241838192086704133	"@USER @USER Only started today and 88 signatures. #StanleyJohnson promised #Brexit ""in a flash"" with his son and interfered in #coronavirus impact on UK. He also wanted us to go out to pubs and infect/get infected. So he thinks he can run now from the consequences? HTTPURL"	UNINFORMATIVE
1241451855093338113	#Senate in at 2:00 PM tomorrow and will resume consideration of the Motion to Proceed to H.R. 748 (Legislative Vehicle for the CARES Act – Coronavirus Phase III). At 3:00 PM, the Senate will vote on the Motion to Invoke Cloture on the Motion to Proceed to H.R. 748.	UNINFORMATIVE
1236128041660592128	Yale Professor Forman said that there could be 100,000+ individuals infected with #coronavirus 😷 in the U.S., primarily due to the lack of large-scale testing of the virus. 🧫 🧤 💀 🚑 🤒 🏥 ⚰️ HTTPURL #QAnon 🇺🇸	UNINFORMATIVE
1245810683490340864	It's Communism people. Never expect honesty. They don't have a word for it. Study published in March; if China had been honest in mid Nov 2019, the number of #COVID19 cases could have been reduced by 95% and its geographic spread limited. HTTPURL #ChinaReparations HTTPURL	UNINFORMATIVE
